stt,so bao danh,diem,ma de,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,ghi chu
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
3,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
4,191004,29|40,103,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,
5,229607,5|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Cau 25: khong to o nao
6,226013,40|40,246,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,
7,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
8,191004,29|40,103,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,
9,001102,39|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,"Cau 20: to nhieu o (a,d)"
10,135790,32|40,246,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,
11,229607,5|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Cau 25: khong to o nao
12,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
13,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
14,213576,28|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Cau 20: khong to o nao; Cau 30: khong to o nao; Cau 31: khong to o nao
15,213576,28|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Sai,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Cau 20: khong to o nao; Cau 30: khong to o nao; Cau 31: khong to o nao
16,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
17,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
18,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
19,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
20,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
21,213576,31|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,
22,213576,30|40,753,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,"Cau 5: to nhieu o (a,b)"
23,unknown_20250530050205,7|40,246,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,SBD khung 4 không tô
24,229607,5|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Cau 25: khong to o nao
25,226013,40|40,246,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,
26,213576,30|40,753,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Sai,Dung,Sai,Dung,Sai,Dung,"Cau 5: to nhieu o (a,b)"
